DOW,CUST_CLASS,COD_COUNTRY,COD_PRO,PRO_COM,VISITORS
Giovedì,visitor,222,27,27004,2924
Domenica,visitor,222,27,27043,4140
Sabato,visitor,222,24,24116,14384
Sabato,visitor,222,108,108024,148
Sabato,visitor,222,28,28064,1996
Giovedì,visitor,222,24,24021,2748
Domenica,visitor,222,45,45003,184
Domenica,visitor,222,37,37011,356
Lunedì,visitor,222,28,28033,1992
Domenica,visitor,222,26,26069,648
Giovedì,visitor,222,28,28102,492
Domenica,visitor,222,28,28061,1896
Sabato,visitor,222,39,39001,144
Venerdì,visitor,222,16,16004,80
Venerdì,visitor,222,4,4029,96
Venerdì,visitor,222,28,28041,988
Domenica,visitor,222,28,28104,1484
Mercoledì,visitor,222,63,63080,72
Mercoledì,visitor,222,24,24021,2968
Sabato,visitor,222,24,24036,1592
Venerdì,visitor,222,28,28054,7144
Lunedì,visitor,222,27,27004,2948
Domenica,visitor,222,30,30043,108
Mercoledì,visitor,222,23,23050,392
Domenica,visitor,222,28,28076,1676
Martedì,visitor,222,28,28028,4024
Venerdì,visitor,222,27,27035,5112
Venerdì,visitor,222,24,24061,1412
Lunedì,visitor,222,28,28027,368
Sabato,visitor,222,26,26089,1600
Lunedì,visitor,222,100,100005,688
Mercoledì,visitor,222,27,27023,3068
Lunedì,visitor,222,27,27014,4276
Domenica,visitor,222,24,24111,1052
Giovedì,visitor,222,93,93013,144
Venerdì,visitor,222,28,28038,924
Mercoledì,visitor,222,25,25071,124
Martedì,visitor,222,28,28093,1088
Sabato,visitor,222,28,28044,4460
Venerdì,visitor,222,15,15195,200
Giovedì,visitor,222,17,17129,60
Lunedì,visitor,222,16,16043,48
Mercoledì,visitor,222,108,108004,132
Giovedì,visitor,222,27,27008,3144
Giovedì,visitor,222,28,28106,6160
Sabato,visitor,222,26,26035,460
Sabato,visitor,222,24,24104,1328
Venerdì,visitor,222,48,48005,108
Sabato,visitor,222,60,60014,60
Venerdì,visitor,222,60,60014,40
Venerdì,visitor,222,28,28006,1132
Sabato,visitor,222,26,26004,180
Sabato,visitor,222,104,104017,132
Sabato,visitor,222,20,20002,60
Venerdì,visitor,222,24,24036,1428
Lunedì,visitor,222,23,23097,516
Martedì,visitor,222,24,24004,900
Giovedì,visitor,222,36,36008,76
Venerdì,visitor,222,99,99002,116
Sabato,visitor,222,26,26014,212
Sabato,visitor,222,40,40007,540
Sabato,visitor,222,54,54018,148
Venerdì,visitor,222,23,23082,356
Venerdì,visitor,222,24,24012,2308
Sabato,visitor,222,96,96004,208
Sabato,visitor,222,23,23043,140
Domenica,visitor,222,93,93044,224
Venerdì,visitor,222,26,26092,920
Mercoledì,visitor,222,26,26092,852
Venerdì,visitor,222,22,22215,44
Martedì,visitor,222,22,22224,72
Sabato,visitor,222,20,20030,864
Venerdì,visitor,222,36,36008,88
Domenica,visitor,222,26,26013,424
Domenica,visitor,222,72,72023,92
Mercoledì,visitor,222,59,59007,76
Giovedì,visitor,222,72,72032,108
Mercoledì,visitor,222,29,29031,356
Sabato,visitor,222,24,24067,1036
Mercoledì,visitor,222,72,72047,88
Domenica,visitor,222,29,29037,340
Venerdì,visitor,222,80,80063,264
Lunedì,visitor,222,37,37054,224
Mercoledì,visitor,222,26,26073,176
Giovedì,visitor,222,37,37053,184
Venerdì,visitor,222,72,72017,48
Mercoledì,visitor,222,36,36013,72
Domenica,visitor,222,25,25053,368
Lunedì,visitor,222,95,95038,68
Giovedì,visitor,222,27,27007,208
Lunedì,visitor,222,110,110007,48
Sabato,visitor,222,3,3154,68
Domenica,visitor,222,20,20061,224
Sabato,visitor,222,25,25040,204
Venerdì,visitor,222,23,23067,56
Lunedì,visitor,222,104,104004,52
Venerdì,visitor,222,20,20016,72
Giovedì,visitor,222,29,29024,196
Lunedì,visitor,222,60,60074,32
Mercoledì,visitor,222,108,108035,88
Giovedì,visitor,222,99,99001,80
Sabato,visitor,222,20,20026,104
Giovedì,visitor,222,58,58007,112
Giovedì,visitor,222,25,25012,76
Sabato,visitor,222,30,30023,112
Giovedì,visitor,222,38,38022,164
Domenica,visitor,222,35,35027,92
Domenica,visitor,222,17,17081,88
Domenica,visitor,222,108,108027,232
Venerdì,visitor,222,21,21026,64
Venerdì,visitor,222,15,15093,216
Lunedì,visitor,222,12,12078,32
Martedì,visitor,222,9,9015,36
Venerdì,visitor,222,17,17074,56
Domenica,visitor,222,23,23041,56
Martedì,visitor,222,37,37011,340
Lunedì,visitor,222,26,26030,88
Domenica,visitor,222,92,92080,36
Venerdì,visitor,222,45,45003,160
Venerdì,visitor,222,75,75014,40
Lunedì,visitor,222,43,43033,40
Sabato,visitor,222,15,15062,36
Giovedì,visitor,222,50,50035,44
Sabato,visitor,222,12,12127,124
